"","Q22_2","Q22_4","Q22_11","Q22_13","Q22_22","Q22_23","Q22_25","Q22_8","Q22_9","Q22_16","Q22_18","Q22_19","Q22_20","Q22_26","Q22_27","DLoC_SUM","Age","group","raw","percentile","n","m","md","sd","normValue"
"92",2.69643723198389,2.51151794725833,2.46756446255693,3.05894709453952,2.49994012655058,2.26183868190827,2.7194045326992,2.9023965691086,2.68361721900628,2.3707630351934,2.66146563996628,2.41758944852459,2.76231495175562,2.38480018339323,2.22674700963431,38.625344134079,24,24,38.625344134079,0.722222222222222,9,37.5508347887198,37.3616768308949,1.61073594172126,55.8945579784978
"392",3.1100514169966,2.95736805908728,2.96817455660592,3.69583411853908,3.31345207964984,2.863585266211,3.30906001400759,2.39990873161787,2.08729409702849,1.77721984920241,2.01993105926081,1.62468132083357,2.06283781893946,1.65899155843601,1.51328688447895,37.3616768308949,24,24,37.3616768308949,0.5,9,37.5508347887198,37.3616768308949,1.61073594172126,50
"397",3.63695263451036,3.52533447625476,3.60589946453184,4.50716158390093,4.34978123392392,3.63014748625213,4.06021943327532,1.75979177491441,1.32764080082434,1.02110790073036,1.20268309267934,0.614599285460178,1.17177710037986,0.73438727253565,0.604413295967189,35.7518968361406,24,24,35.7518968361406,0.166666666666667,9,37.5508347887198,37.3616768308949,1.61073594172126,40.325784338983
"634",2.82893680028705,2.65434415942858,2.6279328052134,3.26297117977546,2.76054526655999,2.45460567476554,2.90829819145646,2.74142669922112,2.49258760954348,2.18062396655707,2.45595272944458,2.1635846575141,2.53824038783991,2.15229043647876,1.99819305280689,38.2205336168924,24,24,38.2205336168924,0.611111111111111,9,37.5508347887198,37.3616768308949,1.61073594172126,52.8221614706251
"687",2.26914172818142,2.05092023311445,1.95039544346565,2.40099344680189,1.65951924050629,1.64018783138643,2.11024472850194,3.42150544268027,3.29966521268601,2.98393913958339,3.32422057391717,3.23672498634565,3.48492903196615,3.13461673539504,2.96380660446387,39.9308103789956,24,24,39.9308103789956,0.944444444444444,9,37.5508347887198,37.3616768308949,1.61073594172126,65.9321881802305
"688",3.36074717350772,3.22760233809801,3.27159941675875,4.08185780940638,3.80652993312524,3.22830997983539,3.6664561873593,2.09534575210231,1.72585659897775,1.41746729857494,1.63109043709246,1.14409165510632,1.63887762770911,1.21907158250398,1.08085145963771,36.5957552497954,24,24,36.5957552497954,0.277777777777778,9,37.5508347887198,37.3616768308949,1.61073594172126,44.1054420215022
"761",3.8804071828043,3.78776318763656,3.90056006548376,4.88203519404396,4.82861680642106,3.98433732832523,4.40729241590664,1.46402592854783,0.976643224921878,0.671746603477124,0.825073916737281,0.147891186317786,0.760062764696554,0.307174141701233,0.1844685291065,35.0080984761277,24,24,35.0080984761277,0.0555555555555556,9,37.5508347887198,37.3616768308949,1.61073594172126,34.0678118197695
"833",3.14528089589285,2.99534322453062,3.01081388906258,3.75008080248827,3.3827427452557,2.91483887249612,3.35928376379067,2.35710946285982,2.03650243271355,1.72666496520046,1.96528852089747,1.55714558061157,2.00326003901346,1.59717100062594,1.45251810687597,37.254044302315,24,24,37.254044302315,0.388888888888889,9,37.5508347887198,37.3616768308949,1.61073594172126,47.1778385293749
"73",3.67210275126727,3.56322409429673,3.64844274252646,4.5612860652793,4.41891580708587,3.6812856325313,4.11033004303042,1.71708892091005,1.27696355588961,0.970666902708949,1.14816364863584,0.54721568432718,1.11233353248935,0.672705979110865,0.543781413383559,35.6445067734728,25,25,35.6445067734728,0.0714285714285714,7,38.1719554914697,37.9384601580011,1.54331660850472,35.3476620731448
"273",2.92126298734519,2.7538659899561,2.73967805685399,3.40513591358622,2.9421358876688,2.58892642515814,3.03991998838652,2.62926230119115,2.35947747429722,2.04813436343768,2.31275057669283,1.98659318389027,2.38210440665907,1.99027678872596,1.838935814152,37.9384601580011,25,25,37.9384601580011,0.5,7,38.1719554914697,37.9384601580011,1.54331660850472,50
